index,Category: All categories,entity
2004-02,20.0,viacom
2004-03,27.0,viacom
2004-04,16.0,viacom
2004-05,11.0,viacom
2004-06,17.0,viacom
2004-07,15.0,viacom
2004-08,9.0,viacom
2004-09,17.0,viacom
2004-10,14.0,viacom
2004-11,12.0,viacom
2004-12,13.0,viacom
2005-01,10.0,viacom
2005-02,15.0,viacom
2005-03,13.0,viacom
2005-04,12.0,viacom
2005-05,9.0,viacom
2005-06,16.0,viacom
2005-07,12.0,viacom
2005-08,11.0,viacom
2005-09,11.0,viacom
2005-10,10.0,viacom
2005-11,10.0,viacom
2005-12,11.0,viacom
2006-01,14.0,viacom
2006-02,11.0,viacom
2006-03,10.0,viacom
2006-04,10.0,viacom
2006-05,7.0,viacom
2006-06,6.0,viacom
2006-07,8.0,viacom
2006-08,9.0,viacom
2006-09,9.0,viacom
2006-10,8.0,viacom
2006-11,6.0,viacom
2006-12,6.0,viacom
2007-01,6.0,viacom
2007-02,12.0,viacom
2007-03,17.0,viacom
2007-04,9.0,viacom
2007-05,7.0,viacom
2007-06,6.0,viacom
2007-07,5.0,viacom
2007-08,6.0,viacom
2007-09,9.0,viacom
2007-10,7.0,viacom
2007-11,7.0,viacom
2007-12,8.0,viacom
2008-01,6.0,viacom
2008-02,5.0,viacom
2008-03,6.0,viacom
2008-04,7.0,viacom
2008-05,6.0,viacom
2008-06,5.0,viacom
2008-07,15.0,viacom
2008-08,6.0,viacom
2008-09,5.0,viacom
2008-10,6.0,viacom
2008-11,5.0,viacom
2008-12,14.0,viacom
2009-01,14.0,viacom
2009-02,5.0,viacom
2009-03,6.0,viacom
2009-04,5.0,viacom
2009-05,4.0,viacom
2009-06,5.0,viacom
2009-07,5.0,viacom
2009-08,4.0,viacom
2009-09,6.0,viacom
2009-10,4.0,viacom
2009-11,4.0,viacom
2009-12,3.0,viacom
2010-01,3.0,viacom
2010-02,4.0,viacom
2010-03,5.0,viacom
2010-04,5.0,viacom
2010-05,4.0,viacom
2010-06,6.0,viacom
2010-07,4.0,viacom
2010-08,4.0,viacom
2010-09,3.0,viacom
2010-10,4.0,viacom
2010-11,4.0,viacom
2010-12,3.0,viacom
2011-01,4.0,viacom
2011-02,4.0,viacom
2011-03,4.0,viacom
2011-04,4.0,viacom
2011-05,4.0,viacom
2011-06,3.0,viacom
2011-07,3.0,viacom
2011-08,3.0,viacom
2011-09,3.0,viacom
2011-10,3.0,viacom
2011-11,3.0,viacom
2011-12,3.0,viacom
2012-01,3.0,viacom
2012-02,4.0,viacom
2012-03,3.0,viacom
2012-04,4.0,viacom
2012-05,6.0,viacom
